EL00003	E0182788
EL00004	E0182788
EL00008	E0182788
EL00009	E0182788
EL00010	E0182788
EL00012	E0182788
EL00019	E0690220
EL00026	E0206158
EL00027	E0690220
EL00028	E0690220
EL00036	E0745875
EL00044	E0175585
EL00051	E0175585
EL00065	E0212035
EL00106	E0575551
EL00113	E0467606
EL00123	E0467606
EL00145	E0693139
EL00147	E0693139
EL00149	E0472659
EL00150	E0472659
EL00155	E0472659
EL00156	E0472659
EL00167	E0472659
EL00172	E0690220
EL00204	E0240539
EL00206	E0240539
EL00216	E0240539
EL00229	E0228303
EL00231	E0228303
EL00232	E0370960
EL00234	E0228303
EL00249	E0404054
EL00252	E0404054
EL00266	E0415113
EL00271	E0415113
EL00285	E0665944
EL00293	E0409776
EL00304	NIL
EL00309	E0484406
EL00313	E0484406
EL00322	E0484406
EL00325	E0694008
EL00331	E0241006
EL00337	E0241006
EL00345	E0241006
EL00366	E0775506
EL00374	E0533523
EL00380	E0533523
EL00389	E0465944
EL00393	E0465944
EL00421	E0625376
EL00423	E0625376
EL00426	E0625376
EL00435	E0735022
EL00445	NIL
EL00446	NIL
EL00462	E0329138
EL00465	E0329138
EL00466	E0329138
EL00477	E0049821
EL00480	E0049821
EL00487	E0690904
EL00495	E0437985
EL00498	E0437985
EL00500	E0437985
EL00503	E0437985
EL00507	E0437985
EL00523	E0299871
EL00529	E0431500
EL00533	E0431500
EL00537	E0431500
EL00539	E0431500
EL00542	E0431500
EL00547	E0739132
EL00548	E0739132
EL00549	E0739132
EL00555	NIL
EL00559	E0739132
EL00561	E0739132
EL00564	E0433287
EL00579	E0433287
EL00594	E0384634
EL00599	E0384634
EL00610	E0747978
EL00619	E0747978
EL00634	E0272861
EL00635	E0272861
EL00641	E0272861
EL00643	E0049548
EL00652	E0049548
EL00659	E0273299
EL00664	E0273299
EL00675	NIL
EL00700	NIL
EL00701	NIL
EL00704	E0171262
EL00706	E0171262
EL00712	E0065135
EL00714	E0183470
EL00725	E0801718
EL00733	E0801718
EL00746	E0643782
EL00760	E0643782
EL00764	E0149263
EL00765	E0149263
EL00766	E0149263
EL00768	E0149263
EL00776	E0149263
EL00781	E0578237
EL00788	E0578237
EL00789	E0578237
EL00797	E0578237
EL00800	E0578237
EL00805	E0433287
EL00812	E0433287
EL00820	E0433287
EL00831	E0519583
EL00845	E0033289
EL00848	NIL
EL00859	E0669532
EL00877	E0626434
EL00884	E0626434
EL00892	E0727668
EL00896	E0727668
EL00898	E0727668
EL00908	E0727668
EL00919	E0036855
EL00920	E0036855
EL00925	E0036855
EL00953	E0572853
EL00969	E0121293
EL00972	E0121293
EL00973	E0121293
